fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_13__2026-05-06_12-43-14_3rep,svm,11301,0,1143,0.8818897637795275,0.8812887431944136,,,4.017187118530273,0.2313202551760803,2006670747
intra_loso_session__VP_13__2026-05-06_12-50-29_3rep,svm,11306,0,1138,0.9191564147627416,0.9195211474788813,,,4.1182990074157715,0.2403129383214538,1335843128
intra_loso_session__VP_13__2026-05-06_12-51-44_3rep,svm,11304,0,1140,0.9166666666666666,0.9198685585162168,,,4.134411096572876,0.2409727949845163,1883993975
intra_loso_session__VP_13__2026-05-06_12-56-17_3rep,svm,11303,0,1141,0.9202453987730062,0.9231607646876472,,,4.077315092086792,0.2382794145321658,815382238
intra_loso_session__VP_13__2026-05-06_12-57-31_3rep,svm,11305,0,1139,0.8999122036874452,0.9037254585606388,,,4.018808126449585,0.2351862176454726,518477195
intra_loso_session__VP_13__2026-05-06_13-06-21_3rep,svm,11305,0,1139,0.8999122036874452,0.9033214933659672,,,4.007465839385986,0.233104503186153,1387097644
intra_loso_session__VP_13__2026-05-06_13-12-22_3rep,svm,11304,0,1140,0.8947368421052632,0.9008170368975736,,,4.076308012008667,0.2368517089308354,166723495
intra_loso_session__VP_13__2026-05-06_13-13-37_3rep,svm,11305,0,1139,0.9192273924495172,0.9239234737983504,,,4.1045660972595215,0.2402440825505043,1980045841
intra_loso_session__VP_14__2026-05-13_15-57-37_5rep,svm,2442,0,3080,0.647077922077922,0.5089514039606012,,,0.3889961242675781,0.1083385634731936,166010354
intra_loso_session__VP_14__2026-05-13_16-11-51_4rep,svm,3080,0,2442,0.5094185094185094,0.3095442883567862,,,0.549353837966919,0.120848832220254,473151858
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,random_forest,52524,0,1142,0.8660245183887916,0.8399891692075628,,,8.91809892654419,0.0127032007728483,385711565
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,random_forest,52527,0,1139,0.9438103599648816,0.9435729431217106,,,8.094444036483765,0.0104663453675656,1005826898
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,random_forest,52527,0,1139,0.5399473222124671,0.4905056460237049,,,7.9457688331604,0.012739171471064,1384197063
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,random_forest,52529,0,1137,0.7458223394898856,0.7108797532491944,,,7.877647876739502,0.0125611153420588,302231117
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,random_forest,52528,0,1138,0.8506151142355008,0.8506987817000184,,,7.694652080535889,0.0102662453542484,592582504
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,random_forest,49377,0,4289,0.5148053159244579,0.4006755032720145,,,7.167073011398315,0.0035315856257639,163217508
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,random_forest,52525,0,1141,0.9237510955302366,0.9209229406712872,,,7.3835132122039795,0.0105042085639224,1557352538
